name,no_of_fte_students,no_of_students_per_staff,international_students,country,percent_female
Australia,NA,NA,NA,IMT Atlantique,NA
France,NA,NA,NA,Imam Mohammad Ibn Saud Islamic University,NA
Saudi Arabia,NA,NA,NA,Howard University,NA
United States,NA,NA,NA,Harbin Institute of Technology,NA
China,NA,NA,NA,University of Hail,NA
Saudi Arabia,NA,NA,NA,University of Greifswald,NA
Germany,NA,NA,NA,Golestan University of Medical Sciences,NA
Iran,NA,NA,NA,Edith Cowan University,NA
Australia,NA,NA,NA,Explore,NA
East China Normal University,28055,14.7,11,China,64
Explore,NA,NA,NA,University of Delaware,NA
United States,NA,NA,NA,"City, University of London",NA
United Kingdom,NA,NA,NA,Charles Darwin University,NA
Australia,NA,NA,NA,Central South University,NA
China,NA,NA,NA,Catholic University of Portugal,NA
Portugal,NA,NA,NA,University of Cape Coast,NA
Ghana,NA,NA,NA,Explore,NA
University of Brescia,15133,24.6,7,Italy,46
University of Bremen,12635,20.1,14,Germany,53
"Birkbeck, University of London",8060,16.6,40,United Kingdom,56
Ateneo de Manila University,13159,10,4,Philippines,51
"Asia University, Taiwan",11421,30.3,7,Taiwan,62
American University of Beirut,9267,8.7,22,Lebanon,51
University of Victoria,20936,24.6,21,Canada,55
University College Cork,17925,20.8,20,Ireland,59
Tokyo Institute of Technology,9878,9.5,17,Japan,0.725
The University of Tennessee-Knoxville,27308,16.7,4,United States,n/a
Temple University,35641,12.5,8,United States,54
Technical University of Darmstadt,15526,37.1,18,Germany,34 
University of Tasmania,18264,22.9,36,Australia,60
Tampere University,15855,20.6,6,Finland,54
Taipei Medical University,5946,9.1,10,Taiwan,58
Explore,NA,NA,NA,Swinburne University of Technology,NA
Australia,NA,NA,NA,University of Stuttgart,NA
Germany,NA,NA,NA,Stony Brook University,NA
United States,NA,NA,NA,University of Southern Queensland,NA
Australia,NA,NA,NA,University of South Australia,NA
Australia,NA,NA,NA,Saint Louis University,NA
United States,NA,NA,NA,University of St Gallen,NA
Switzerland,NA,NA,NA,RMIT University,NA
Australia,NA,NA,NA,Reykjavík University,NA
Iceland,NA,NA,NA,Politecnico di Milano,NA
Italy,NA,NA,NA,Explore,NA
Peter the Great St Petersburg Polytechnic University,16375,9.7,32,Russian Federation,41
University of Oulu,10134,19.8,7,Finland,54
Explore,NA,NA,NA,University of Otago,NA
New Zealand,NA,NA,NA,Nankai University,NA
China,NA,NA,NA,Explore,NA
Nagoya University,15224,12.8,12,Japan,30 
Montpellier University,40179,20.1,15,France,54
University of Milan-Bicocca,29057,29.2,5,Italy,62
University of Milan,47512,21.2,7,Italy,60
Lappeenranta-Lahti University of Technology LUT,4609,30.3,12,Finland,33 
University of Iowa,29257,11.1,8,United States,54
Hasselt University,5683,31.1,14,Belgium,49
George Mason University,32157,18.1,12,United States,53
University of Galway,15109,26.1,20,Ireland,60
Florida State University,39380,24,7,United States,57
Flinders University,17027,27.9,36,Australia,65
University of Essex,14335,15.3,40,United Kingdom,54
École Normale Supérieure de Lyon,2171,8.6,11,France,47
Drexel University,19304,12.5,14,United States,51
Dalhousie University,16901,14.8,28,Canada,55
Explore,NA,NA,NA,University of Colorado Denver/Anschutz Medical Campus,NA
United States,NA,NA,NA,"University of California, Merced",NA
United States,NA,NA,NA,University at Buffalo,NA
United States,NA,NA,NA,Universiti Brunei Darussalam,NA
Brunei Darussalam,NA,NA,NA,Explore,NA
Brandeis University,5427,13.1,28,United States,59
University of Bordeaux,53755,22.4,13,France,59
Explore,NA,NA,NA,Autonomous University of Madrid,NA
Spain,NA,NA,NA,Anglia Ruskin University (ARU),NA
United Kingdom,NA,NA,NA,Alfaisal University,NA
Saudi Arabia,NA,NA,NA,Explore,NA
Aix-Marseille University,70054,17.4,13,France,60
Abu Dhabi University,3926,18.1,60,United Arab Emirates,51
University of the Witwatersrand,26871,23.6,7,South Africa,56
Explore,NA,NA,NA,Virginia Polytechnic Institute and State University,NA
United States,NA,NA,NA,Explore,NA
University of Utah,30967,13.6,8,United States,48
United Arab Emirates University,7121,10.9,17,United Arab Emirates,80
Explore,NA,NA,NA,University of Twente,NA
Netherlands,NA,NA,NA,Tongji University,NA
China,NA,NA,NA,Explore,NA
Tilburg University,11876,29.9,20,Netherlands,51
Explore,NA,NA,NA,Swansea University,NA
United Kingdom,NA,NA,NA,Sun Yat-sen University,NA
China,NA,NA,NA,Explore,NA
Stellenbosch University,24907,25.9,8,South Africa,56
Explore,NA,NA,NA,University of Southern Denmark,NA
Denmark,NA,NA,NA,Simon Fraser University,NA
Canada,NA,NA,NA,Explore,NA
University of Sharjah,12933,19.2,55,United Arab Emirates,67
Sejong University,12356,20.8,13,South Korea,48
Ruhr University Bochum,38441,48.5,15,Germany,50
Queen’s University,26556,26.2,17,Canada,59
Explore,NA,NA,NA,University of Pavia,NA
Italy,NA,NA,NA,Osaka University,NA
Japan,NA,NA,NA,Oregon Health and Science University,NA
United States,NA,NA,NA,University of Navarra,NA
Spain,NA,NA,NA,Linköping University,NA
Sweden,NA,NA,NA,Université Laval,NA
Canada,NA,NA,NA,La Trobe University,NA
Australia,NA,NA,NA,Explore,NA
Kyung Hee University,20504,17.7,27,South Korea,55
Explore,NA,NA,NA,King Saud University,NA
Saudi Arabia,NA,NA,NA,University of Kiel,NA
Germany,NA,NA,NA,Johannes Gutenberg University of Mainz,NA
Germany,NA,NA,NA,Indian Institute of Science,NA
India,NA,NA,NA,University of Illinois Chicago,NA
United States,NA,NA,NA,Hebrew University of Jerusalem,NA
Israel,NA,NA,NA,University of Hawai’i at M?noa,NA
United States,NA,NA,NA,Griffith University,NA
Australia,NA,NA,NA,Explore,NA
Goethe University Frankfurt,30082,12.7,14,Germany,58
École des Ponts ParisTech,1959,10,37,France,32 
Heinrich Heine University Düsseldorf,29365,32.8,12,Germany,58
University of Duisburg-Essen,41618,43.7,19,Germany,49
Explore,NA,NA,NA,Deakin University,NA
Australia,NA,NA,NA,Copenhagen Business School,NA
Denmark,NA,NA,NA,"China Medical University, Taiwan",NA
Taiwan,NA,NA,NA,Chalmers University of Technology,NA
Sweden,NA,NA,NA,University of Canberra,NA
Australia,NA,NA,NA,"University of California, Riverside",NA
United States,NA,NA,NA,Brighton and Sussex Medical School,NA
United Kingdom,NA,NA,NA,Bournemouth University,NA
United Kingdom,NA,NA,NA,Boston College,NA
United States,NA,NA,NA,Bond University,NA
Australia,NA,NA,NA,Beijing Normal University,NA
China,NA,NA,NA,University of Bath,NA
United Kingdom,NA,NA,NA,Australian Catholic University,NA
Australia,NA,NA,NA,Auckland University of Technology,NA
New Zealand,NA,NA,NA,Explore,NA
Aalborg University,16818,14.7,14,Denmark,n/a
University of Wollongong,17440,29.1,27,Australia,54
Explore,NA,NA,NA,Western Sydney University,NA
Australia,NA,NA,NA,Western University,NA
Canada,NA,NA,NA,Explore,NA
University of Waterloo,34306,23.2,23,Canada,48
Vrije Universiteit Brussel,14284,33.6,23,Belgium,57
Vita-Salute San Raffaele University,3560,15.1,5,Italy,61
University College Dublin,23361,21.3,31,Ireland,n/a
Tohoku University,17812,12.4,14,Japan,28 
Tel Aviv University,23834,23,7,Israel,57
University of Tartu,9235,12,13,Estonia,68
Università della Svizzera italiana,3266,12.5,66,Switzerland,47
University of Sussex,17790,17.4,37,United Kingdom,55
University of Surrey,14960,16.9,36,United Kingdom,53
University of St Andrews,9770,12.3,47,United Kingdom,59
University of South Florida,39907,18.6,13,United States,n/a
Semmelweis University,9860,12.2,34,Hungary,69
Explore,NA,NA,NA,Sapienza University of Rome,NA
Italy,NA,NA,NA,University of São Paulo,NA
Brazil,NA,NA,NA,Sant’Anna School of Advanced Studies – Pisa,NA
Italy,NA,NA,NA,Explore,NA
"St George’s, University of London",3490,13.2,20,United Kingdom,64
Rutgers University – New Brunswick,46158,10.9,17,United States,53
RCSI University of Medicine and Health Sciences,2563,24.2,70,Ireland,n/a
Explore,NA,NA,NA,Queensland University of Technology,NA
Australia,NA,NA,NA,Explore,NA
Qatar University,9084,8.8,35,Qatar,77
University of Potsdam,14993,39.6,14,Germany,57
University of Padua,48524,29.3,8,Italy,55
University of Notre Dame,12401,10.9,13,United States,46
University of Newcastle,24363,29.5,18,Australia,57
Moscow Institute of Physics and Technology (MIPT),6083,11.5,20,Russian Federation,n/a
Medical University of Innsbruck,3244,12.9,43,Austria,54
Macau University of Science and Technology,11993,38.1,91,Macao,57
Explore,NA,NA,NA,University of Macau,NA
Macao,NA,NA,NA,Explore,NA
University of Luxembourg,5185,19.3,51,Luxembourg,53
Université Libre de Bruxelles,28290,49.3,31,Belgium,57
Korea University,22507,15.8,27,South Korea,n/a
Explore,NA,NA,NA,University of Konstanz,NA
Germany,NA,NA,NA,King Fahd University of Petroleum and Minerals,NA
Saudi Arabia,NA,NA,NA,Humanitas University,NA
Italy,NA,NA,NA,Explore,NA
University of Hohenheim,8714,39.7,14,Germany,58
University of Gothenburg,20891,10.7,12,Sweden,n/a
George Washington University,22298,12.9,15,United States,62
University of Geneva,19078,8.7,40,Switzerland,62
Eindhoven University of Technology,10240,21,24,Netherlands,n/a
University of East Anglia,15940,13.3,25,United Kingdom,58
Explore,NA,NA,NA,University of Dundee,NA
United Kingdom,NA,NA,NA,Explore,NA
Curtin University,29999,20.8,31,Australia,52
Explore,NA,NA,NA,University of Calgary,NA
Canada,NA,NA,NA,Bielefeld University,NA
Germany,NA,NA,NA,University of Bergen,NA
Norway,NA,NA,NA,Aalto University,NA
Finland,NA,NA,NA,University of Reading,NA
United Kingdom,NA,NA,NA,Queen’s University Belfast,NA
United Kingdom,NA,NA,NA,Explore,NA
Durham University,18425,14.1,35,United Kingdom,54
Sichuan University,49543,15.8,6,China,n/a
Explore,NA,NA,NA,University of Erlangen-Nuremberg,NA
Germany,NA,NA,NA,University of Miami,NA
United States,NA,NA,NA,Medical University of Vienna,NA
Austria,NA,NA,NA,"University of California, Santa Cruz",NA
United States,NA,NA,NA,University of Aberdeen,NA
United Kingdom,NA,NA,NA,University of Massachusetts,NA
United States,NA,NA,NA,Karlsruhe Institute of Technology,NA
Germany,NA,NA,NA,Friedrich Schiller University Jena,NA
Germany,NA,NA,NA,National Taiwan University (NTU),NA
Taiwan,NA,NA,NA,Explore,NA
Cardiff University,27105,14.3,28,United Kingdom,59
Explore,NA,NA,NA,Pompeu Fabra University,NA
Spain,NA,NA,NA,University of Münster,NA
Germany,NA,NA,NA,Scuola Normale Superiore di Pisa,NA
Italy,NA,NA,NA,Autonomous University of Barcelona,NA
Spain,NA,NA,NA,University of Barcelona,NA
Spain,NA,NA,NA,Texas A&M University,NA
United States,NA,NA,NA,University of Arizona,NA
United States,NA,NA,NA,University of Mannheim,NA
Germany,NA,NA,NA,Stockholm University,NA
Sweden,NA,NA,NA,University of Liverpool,NA
United Kingdom,NA,NA,NA,Explore,NA
Huazhong University of Science and Technology,57167,16.2,4,China,n/a
Macquarie University,30561,69,27,Australia,52
Explore,NA,NA,NA,Ulsan National Institute of Science and Technology (UNIST),NA
South Korea,NA,NA,NA,Explore,NA
Wuhan University,55412,15.2,6,China,n/a
Sungkyunkwan University (SKKU),23399,19.4,18,South Korea,n/a
Explore,NA,NA,NA,Université Catholique de Louvain,NA
Belgium,NA,NA,NA,Indiana University,NA
United States,NA,NA,NA,"Northeastern University, US",NA
United States,NA,NA,NA,Medical University of Graz,NA
Austria,NA,NA,NA,Technical University of Denmark,NA
Denmark,NA,NA,NA,Southern University of Science and Technology (SUSTech),NA
China,NA,NA,NA,Explore,NA
Pohang University of Science and Technology (POSTECH),3260,10,3,South Korea,n/a
Explore,NA,NA,NA,Lomonosov Moscow State University,NA
Russian Federation,NA,NA,NA,University of Leicester,NA
United Kingdom,NA,NA,NA,Trinity College Dublin,NA
Ireland,NA,NA,NA,Explore,NA
University of Bologna,69831,24.4,12,Italy,56
Explore,NA,NA,NA,University of Cape Town,NA
South Africa,NA,NA,NA,Explore,NA
University of Virginia (Main campus),25810,9,13,United States,53
TU Dresden,30382,30.8,16,Germany,45
Technical University of Berlin,20243,48.1,27,Germany,35 
Arizona State University (Tempe),50027,19.6,17,United States,45
Explore,NA,NA,NA,KTH Royal Institute of Technology,NA
Sweden,NA,NA,NA,University of Rochester,NA
United States,NA,NA,NA,Tufts University,NA
United States,NA,NA,NA,Penn State (Main campus),NA
United States,NA,NA,NA,University of Florida,NA
United States,NA,NA,NA,Uppsala University,NA
Sweden,NA,NA,NA,Ulm University,NA
Germany,NA,NA,NA,University of Colorado Boulder,NA
United States,NA,NA,NA,Rice University,NA
United States,NA,NA,NA,University of Cologne,NA
Germany,NA,NA,NA,Maastricht University,NA
Netherlands,NA,NA,NA,University of Pittsburgh-Pittsburgh campus,NA
United States,NA,NA,NA,University of York,NA
United Kingdom,NA,NA,NA,University of Würzburg,NA
Germany,NA,NA,NA,Radboud University Nijmegen,NA
Netherlands,NA,NA,NA,Explore,NA
Newcastle University,25590,15.1,29,United Kingdom,52
Explore,NA,NA,NA,University of Auckland,NA
New Zealand,NA,NA,NA,Explore,NA
University of Ottawa,36670,26,24,Canada,58
Explore,NA,NA,NA,University of Exeter,NA
United Kingdom,NA,NA,NA,Georgetown University,NA
United States,NA,NA,NA,University of Lausanne,NA
Switzerland,NA,NA,NA,Case Western Reserve University,NA
United States,NA,NA,NA,University of Technology Sydney,NA
Australia,NA,NA,NA,Explore,NA
The University of Western Australia,18405,21.3,28,Australia,49
University of Antwerp,15857,32.2,17,Belgium,56
University of Nottingham,32875,15.1,31,United Kingdom,54
University of Leeds,33990,14.6,36,United Kingdom,60
University of Hamburg,30676,61.5,12,Germany,58
Purdue University West Lafayette,44551,16.9,20,United States,44
University of Oslo,21548,13.3,15,Norway,66
University of Vienna,35929,42.9,29,Austria,66
Queen Mary University of London,20505,13.1,46,United Kingdom,55
Dartmouth College,6440,7.8,15,United States,49
Lancaster University,14380,12.8,39,United Kingdom,51
Vrije Universiteit Amsterdam,29796,19.8,16,Netherlands,56
Lund University,28545,11.5,18,Sweden,55
University of Göttingen,30221,26,14,Germany,52
University of Alberta,32338,21.6,28,Canada,n/a
Aarhus University,26475,13.5,10,Denmark,55
University of Sheffield,27465,14.5,41,United Kingdom,53
Explore,NA,NA,NA,Université Paris Cité,NA
France,NA,NA,NA,University of Copenhagen,NA
Denmark,NA,NA,NA,University of Freiburg,NA
Germany,NA,NA,NA,Ohio State University (Main campus),NA
United States,NA,NA,NA,University of Montreal,NA
Canada,NA,NA,NA,Explore,NA
University of Helsinki,23059,15.8,5,Finland,67
University of Southampton,21175,13.7,39,United Kingdom,53
University of Birmingham,31820,15,34,United Kingdom,58
Ghent University,39437,35.6,12,Belgium,57
Michigan State University,45465,16,13,United States,52
University of Warwick,23230,13.1,44,United Kingdom,50
"University of Maryland, College Park",33775,16.5,11,United States,49
University of Minnesota,61009,12,10,United States,54
King Abdulaziz University,31545,7.8,22,Saudi Arabia,54
Explore,NA,NA,NA,University of Basel,NA
Switzerland,NA,NA,NA,RWTH Aachen University,NA
Germany,NA,NA,NA,City University of Hong Kong,NA
Hong Kong,NA,NA,NA,Explore,NA
Vanderbilt University,12696,3.8,15,United States,55
Nanjing University,36426,16.5,8,China,54
Institut Polytechnique de Paris,5999,6.7,41,France,24 
Explore,NA,NA,NA,"University of California, Irvine",NA
United States,NA,NA,NA,University of Bern,NA
Switzerland,NA,NA,NA,Université Paris-Saclay,NA
France,NA,NA,NA,Korea Advanced Institute of Science and Technology (KAIST),NA
South Korea,NA,NA,NA,Free University of Berlin,NA
Germany,NA,NA,NA,Sorbonne University,NA
France,NA,NA,NA,University of Bonn,NA
Germany,NA,NA,NA,University of Adelaide,NA
Australia,NA,NA,NA,University of Tübingen,NA
Germany,NA,NA,NA,Humboldt University of Berlin,NA
Germany,NA,NA,NA,McMaster University,NA
Canada,NA,NA,NA,Explore,NA
University of Zurich,25003,13.7,22,Switzerland,56
University of Glasgow,28540,13.5,41,United Kingdom,59
Explore,NA,NA,NA,Emory University,NA
United States,NA,NA,NA,University of Wisconsin-Madison,NA
United States,NA,NA,NA,Erasmus University Rotterdam,NA
Netherlands,NA,NA,NA,Explore,NA
Hong Kong Polytechnic University,19046,28.9,30,Hong Kong,51
Explore,NA,NA,NA,Yonsei University (Seoul campus),NA
South Korea,NA,NA,NA,Explore,NA
Leiden University,33648,19.3,20,Netherlands,60
Explore,NA,NA,NA,University of Bristol,NA
United Kingdom,NA,NA,NA,University of Groningen,NA
Netherlands,NA,NA,NA,Explore,NA
University of Science and Technology of China,18573,8.1,6,China,n/a
Explore,NA,NA,NA,Charité - Universitätsmedizin Berlin,NA
Germany,NA,NA,NA,UNSW Sydney,NA
Australia,NA,NA,NA,Explore,NA
Boston University,27243,10.8,31,United States,59
Delft University of Technology,20299,16.1,31,Netherlands,31 
University of North Carolina at Chapel Hill,31080,7.9,8,United States,59
Kyoto University,22269,9.2,12,Japan,25 
Zhejiang University,46124,12,16,China,n/a
Explore,NA,NA,NA,Utrecht University,NA
Netherlands,NA,NA,NA,University of Southern California,NA
United States,NA,NA,NA,"University of California, Santa Barbara",NA
United States,NA,NA,NA,"University of California, Davis",NA
United States,NA,NA,NA,Australian National University,NA
Australia,NA,NA,NA,Brown University,NA
United States,NA,NA,NA,University of Amsterdam,NA
Netherlands,NA,NA,NA,Explore,NA
Wageningen University & Research,15404,18.6,27,Netherlands,55
The Hong Kong University of Science and Technology,9864,21,32,Hong Kong,n/a
Explore,NA,NA,NA,Washington University in St Louis,NA
United States,NA,NA,NA,Seoul National University,NA
South Korea,NA,NA,NA,The University of Sydney,NA
Australia,NA,NA,NA,University of Manchester,NA
United Kingdom,NA,NA,NA,The University of Queensland,NA
Australia,NA,NA,NA,Explore,NA
Shanghai Jiao Tong University,37478,11.5,8,China,42
Fudan University,36318,11.9,9,China,52
University of Texas at Austin,49171,17.4,10,United States,53
Karolinska Institute,8021,9.9,27,Sweden,70
University of Illinois at Urbana-Champaign,48674,17.4,22,United States,48
Paris Sciences et Lettres – PSL Research University Paris,16218,15,22,France,51
McGill University,32309,12.5,30,Canada,60
Chinese University of Hong Kong,18468,19,21,Hong Kong,n/a
Explore,NA,NA,NA,Monash University,NA
Australia,NA,NA,NA,Universität Heidelberg,NA
Germany,NA,NA,NA,KU Leuven,NA
Belgium,NA,NA,NA,Explore,NA
École Polytechnique Fédérale de Lausanne,11641,12.3,62,Switzerland,30 
University of British Columbia,56452,18.9,34,Canada,55
The University of Tokyo,26112,10.5,15,Japan,n/a
Georgia Institute of Technology,28826,24.7,40,United States,33 
London School of Economics and Political Science,11120,11.9,73,United Kingdom,55
"Nanyang Technological University, Singapore",24651,15.1,25,Singapore,48
King’s College London,28965,11.8,52,United Kingdom,63
University of Melbourne,49588,23.8,47,Australia,58
LMU Munich,35003,34.2,19,Germany,61
Explore,NA,NA,NA,"University of California, San Diego",NA
United States,NA,NA,NA,University of Hong Kong,NA
Hong Kong,NA,NA,NA,Explore,NA
Technical University of Munich,33960,40.6,36,Germany,37 
Explore,NA,NA,NA,University of Edinburgh,NA
United Kingdom,NA,NA,NA,Carnegie Mellon University,NA
United States,NA,NA,NA,University of Washington,NA
United States,NA,NA,NA,Northwestern University,NA
United States,NA,NA,NA,Duke University,NA
United States,NA,NA,NA,New York University,NA
United States,NA,NA,NA,University of Michigan-Ann Arbor,NA
United States,NA,NA,NA,UCL,NA
United Kingdom,NA,NA,NA,"University of California, Los Angeles",NA
United States,NA,NA,NA,Cornell University,NA
United States,NA,NA,NA,National University of Singapore,NA
Singapore,NA,NA,NA,Explore,NA
University of Toronto,77468,25.8,26,Canada,56
Peking University,31994,10.3,19,China,n/a
Explore,NA,NA,NA,Tsinghua University,NA
China,NA,NA,NA,Explore,NA
Johns Hopkins University,17584,4.7,29,United States,53
University of Pennsylvania,21453,6.3,23,United States,53
The University of Chicago,15366,6,36,United States,47
ETH Zurich,21665,14.8,41,Switzerland,33 
Columbia University,21781,4.5,38,United States,n/a
Imperial College London,18545,11.2,61,United Kingdom,40 
Yale University,13482,5.9,21,United States,52
"University of California, Berkeley",40921,18.4,24,United States,52
Princeton University,8279,8,23,United States,46
California Institute of Technology,2237,6.2,34,United States,37 
Massachusetts Institute of Technology,11415,8.2,33,United States,40 
Stanford University,16164,7.1,24,United States,46
University of Cambridge,20185,11.3,39,United Kingdom,47
Harvard University,21887,9.6,25,United States,50
University of Oxford,20965,10.6,42,United Kingdom,48
