name,no_of_fte_students,no_of_students_per_staff,international_students,country,percent_female
Uganda,NA,NA,NA,Kamianets-Pod?lskyi Ivan Ohiienko National University,NA
Ukraine,NA,NA,NA,Kabardino-Balkarian State University,NA
Russian Federation,NA,NA,NA,University of Jos,NA
Nigeria,NA,NA,NA,University of Jijel,NA
Algeria,NA,NA,NA,Jerash Private University,NA
Jordan,NA,NA,NA,Jashore University of Science and Technology,NA
Bangladesh,NA,NA,NA,Japan Advanced Institute of Science and Technology (JAIST),NA
Japan,NA,NA,NA,Jabir ibn Hayyan Medical University,NA
Iraq,NA,NA,NA,Ivanovo State University,NA
Russian Federation,NA,NA,NA,Universita IULM,NA
Italy,NA,NA,NA,Explore,NA
IUBAT – International University of Business Agriculture and Technology,6435,22.1,1,Bangladesh,30 
Istanbul Geli?im University,18774,23.4,15,Turkey,46
Istanbul Ayd?n University,27826,27.9,13,Turkey,51
Israel Technological University,3070,34.9,1,Ecuador,42
Isra University,4864,19.6,18,Jordan,54
Islamic University of Madinah,11703,7.7,75,Saudi Arabia,0.233333333
Islamic University of Gaza,17058,47,1,Palestine,60
The Islamic University,4152,9.1,2,Iraq,70
Islamia College Peshawar,6732,25.5,3,Pakistan,27 
Ion Mincu University of Architecture and Urbanism,3173,12.8,4,Romania,71
Ionian University,8169,41.9,3,Greece,53
International University of Rabat,5830,33.3,2,Morocco,51
International Christian University,2913,12.6,11,Japan,61
Institute of Cancer Research,195,2.8,33,United Kingdom,62
Innopolis University,823,15.8,32,Russian Federation,0.725
Indira Gandhi Delhi Technical University for Women,3673,53.2,0,India,100
IMT Mines Alès,1425,12.8,15,France,31 
Ilma University,4107,22.4,0,Pakistan,0.929861111
Ignatius Ajuru University of Education,29785,75.2,0,Nigeria,49
IFHE Hyderabad,6931,20.3,0,India,39 
Hyogo University of Teacher Education,1161,8,2,Japan,68
University of Human Development,2583,17.1,3,Iraq,49
Huachiew Chalermprakiet University,7297,16,7,Thailand,79
Hitotsubashi University,6212,17,15,Japan,32 
Hiroshima Institute of Technology,4628,25.4,0,Japan,0.479166667
Hiroshima Shudo University,4776,16.6,0,Japan,39 
Hindustan Institute of Technology and Science,6033,12.1,1,India,36 
University of the Highlands and Islands,7200,130.9,12,United Kingdom,61
"University of Health Sciences, Turkey",21322,9,5,Turkey,34 
University of Health and Allied Sciences,6445,23.5,0,Ghana,62
Hawler Medical University,4152,7.2,1,Iraq,63
Hassiba Benbouali University of Chlef,30121,22.3,1,Algeria,71
Hartpury University,1655,23.6,10,United Kingdom,64
Harper Adams University,2195,13.3,11,United Kingdom,58
Gulf College,2780,27.5,3,Oman,40 
Guildhall School of Music and Drama,995,5.2,34,United Kingdom,50
Grodno State Medical University,4700,8.4,26,Belarus,71
Gregory University Uturu,2025,7.3,0,Nigeria,62
Greenwich University,1261,15.6,3,Pakistan,35 
"The Graduate University for Advanced Studies, SOKENDAI",506,0.4,31,Japan,29 
"Government College Women University, Sialkot",7023,34.8,0,Pakistan,100
Government College Women University Faisalabad,14424,56.3,0,Pakistan,100
Gomel State Medical University,3642,8.5,20,Belarus,66
University of Gloucestershire,6605,17.2,11,United Kingdom,60
Glasgow School of Art,2240,16,44,United Kingdom,67
Fergana Polytechnic Institute,14812,23.6,0,Uzbekistan,0.888888889
GLA University,9680,17.2,0,India,27 
Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,2046,20.5,0,Pakistan,0.479166667
General Sir John Kotelawala Defence University,5136,21,2,Sri Lanka,48
Future University in Egypt,9066,10.7,10,Egypt,43
Fundación Universitaria del Área Andina,40193,35.9,0,Colombia,60
Fundação Oswaldo Cruz,3699,NA,,Brazil,n/a
Fukui Prefectural University,1772,10.9,1,Japan,51
University of Franca,50760,160.6,0,Brazil,57
Fountain University,1420,18.9,0,Nigeria,59
First Technical University,2442,29.1,0,Nigeria,29 
"Federal University of Technology, Owerri",22610,18.7,0,Nigeria,31 
"Federal University of Technology, Minna",24671,27.8,0,Nigeria,25 
"Federal University of Petroleum Resources, Effurun",7313,39.7,0,Nigeria,0.765972222
Federal University of Latin American Integration (UNILA),4774,11.8,31,Brazil,50
Federal University of Lafia,12456,22.8,0,Nigeria,40 
Federal University of Kashere,10121,21.4,0,Nigeria,30 
Federal University Gashua,1091,3.3,0,Nigeria,0.479166667
Falmouth University,4800,17.8,14,United Kingdom,57
Externado University of Colombia,12370,13,1,Colombia,58
"Evangel University, Akaeze",987,5.7,0,Nigeria,47
European University of Valencia,2169,8.8,50,Spain,58
European University Cyprus,5229,19.4,49,Cyprus,58
Explore,NA,NA,NA,Universidade Estadual de Goiás,NA
Brazil,NA,NA,NA,ESIC,NA
Spain,NA,NA,NA,Explore,NA
"University of Engineering and Technology, Mardan",1208,21.6,1,Pakistan,0.274305556
Egypt-Japan University of Science and Technology (E-JUST),539,6.7,3,Egypt,33 
Egyptian Russian University,6237,13.6,2,Egypt,39 
Egerton University,20472,40.1,1,Kenya,43
Effat University,1067,9.4,26,Saudi Arabia,99
"University of Education, Lahore",27105,33.1,0,Pakistan,51
Edo State University Uzairue,1489,9.5,0,Nigeria,52
Academy of Economic Studies of Moldova,5525,25.3,1,Moldova,53
École Polytechnique d’Architecture et d’Urbanisme,1371,10.1,0,Algeria,69
École Nationale Polytechnique,1489,8.7,0,Algeria,46
University of El Oued,29028,33.1,0,Algeria,59
Ebonyi State University,25204,27.5,0,Nigeria,50
EAN University,10000,142.9,0,Colombia,n/a
University of Duhok,23662,13.5,0,Iraq,52
DHA Suffa University,1807,14.5,0,Pakistan,0.684027778
University of Dubai,1147,27.3,24,United Arab Emirates,29 
Dr. M.G.R. Educational and Research Institute,23097,13.3,0,India,32 
Dostoevsky Omsk State University,7355,13.2,6,Russian Federation,63
Donetsk National University of Economics and Trade named after Mykhailo Tuhan-Baranovsky (DonNUET),1068,18.4,2,Ukraine,60
Do?u? University,9149,30.2,1,Turkey,40 
Denau Institute of Entrepreneurship and Pedagogy,5247,21.9,0,Uzbekistan,63
University of Diyala,29461,17.9,0,Iraq,54
Dijlah University,8864,28.5,0,Iraq,43
Dhonburi Rajabhat University,4210,16.1,1,Thailand,61
Dhofar University,3122,17.8,6,Oman,56
Dhaka International University,6033,29.9,8,Bangladesh,0.765972222
University for Development Studies,20674,33.9,1,Ghana,41
Derzhavin Tambov State University,7985,15.1,33,Russian Federation,56
Deraya University,4275,18.9,0,Egypt,58
Delta University for Science and Technology,8780,16.9,0,Egypt,48
Universidad del Sinú,4350,25.6,0,Colombia,57
Debre Tabor University,8414,7.4,0,Ethiopia,41
Daffodil International University (DIU),16157,21.1,3,Bangladesh,34 
Cyprus Health and Social Sciences University,2354,35.1,75,Northern Cyprus,45
C.V. Raman Global University,6991,15.8,4,India,29 
University of Cumbria,5275,15.7,10,United Kingdom,70
Cross River University of Technology,18915,40.2,0,Nigeria,36 
"City University of Science and Information Technology, Peshawar",4163,21.3,2,Pakistan,0.684027778
University for the Creative Arts,5345,18.8,35,United Kingdom,67
Cihan University – Erbil,4457,23.3,1,Iraq,43
Cranfield University,3135,7.8,68,United Kingdom,30 
Courtauld Institute of Art,510,12.8,51,United Kingdom,82
University of Constantine 3,14736,16.2,2,Algeria,73
Conservatoire for Dance and Drama,940,10.4,35,United Kingdom,70
Coal City University,461,4.8,0,Nigeria,48
University of Civil Protection,743,3.6,12,Belarus,0.479166667
Christ University Bengaluru India,23637,20.2,2,India,48
Chitkara University,12895,15.5,3,India,40 
Explore,NA,NA,NA,University of Chichester,NA
United Kingdom,NA,NA,NA,Chernihiv National University of Technology,NA
Ukraine,NA,NA,NA,CETYS Universidad,NA
Mexico,NA,NA,NA,César Ritz Colleges Switzerland,NA
Switzerland,NA,NA,NA,CES University,NA
Colombia,NA,NA,NA,Centro Universitário Max Planck,NA
Brazil,NA,NA,NA,Centro Universitário de Jaguariúna,NA
Brazil,NA,NA,NA,University of Central Punjab,NA
Pakistan,NA,NA,NA,Central European University,NA
Austria,NA,NA,NA,University of Celaya,NA
Mexico,NA,NA,NA,CECOS University of IT and Emerging Sciences,NA
Pakistan,NA,NA,NA,Cebu Technological University,NA
Philippines,NA,NA,NA,Universidad Católica San Pablo,NA
Peru,NA,NA,NA,Universidad Católica de Cuenca,NA
Ecuador,NA,NA,NA,B. S. Abdur Rahman Crescent Institute of Science and Technology,NA
India,NA,NA,NA,Universidad Católica de Colombia,NA
Colombia,NA,NA,NA,Catholic University in Erbil,NA
Iraq,NA,NA,NA,Canadian International College (CIC) – Cairo,NA
Egypt,NA,NA,NA,Buriram Rajabhat University,NA
Thailand,NA,NA,NA,Buckinghamshire New University,NA
United Kingdom,NA,NA,NA,Bowen University,NA
Nigeria,NA,NA,NA,Botswana International University of Science and Technology (BIUST),NA
Botswana,NA,NA,NA,University of Bolton,NA
United Kingdom,NA,NA,NA,University of Bogotá Jorge Tadeo Lozano,NA
Colombia,NA,NA,NA,Bishop Grosseteste University,NA
United Kingdom,NA,NA,NA,University of Bisha,NA
Saudi Arabia,NA,NA,NA,Birzeit University,NA
Palestine,NA,NA,NA,Biruni University,NA
Turkey,NA,NA,NA,Bilecik ?eyh Edebali University,NA
Turkey,NA,NA,NA,Beykent University,NA
Turkey,NA,NA,NA,Bernardo O’Higgins University,NA
Chile,NA,NA,NA,Benson Idahosa University,NA
Nigeria,NA,NA,NA,University of Benghazi,NA
Libya,NA,NA,NA,Bells University of Technology,NA
